Title;Journal Name;Open Access;Bibcode
Sublimation pressures of common volatiles at low temperature and maps of supervolatile cold traps on the Moon; Icarus; True; 2024Icar..41616086S
EUSO-SPB1 mission and science; Astroparticle Physics; True; 2024APh...15402891A
Moderate D/H ratios in methane ice on Eris and Makemake as evidence of hydrothermal or metamorphic processes in their interiors: Geochemical analysis; Icarus; True; 2024Icar..41215999G
Microalgae in bioregenerative life support systems for space applications; Algal Research; False; 2024AlgRe..7703332R
Scientific impact of a noiseless energy-resolving detector for a future exoplanet-imaging mission; Journal of Astronomical Telescopes, Instruments, and Systems; True; 2024JATIS..10b5008H
NEOMOD 2: An updated model of Near-Earth Objects from a decade of Catalina Sky Survey observations; Icarus; True; 2024Icar..41115922N
Abiotic Production of Dimethyl Sulfide, Carbonyl Sulfide, and Other Organosulfur Gases via Photochemistry: Implications for Biosignatures and Metabolic Potential; The Astrophysical Journal; True; 2024ApJ...973L..38R
Lunar grain size determination based on surface temperatures using ensembles of thermal model parameters; Icarus; False; 2024Icar..40715771S
The dayside ionosphere of Mars observed by MAVEN NGIMS; Icarus; False; 2024Icar..42016192L
On-orbit calibration and performance of the EMIT imaging spectrometer; Remote Sensing of Environment; True; 2024RSEnv.30313986T
Production of high velocity micron-sized ice particles using the NASA Ames Vertical Gun Range for application to missions to icy moons.; Icarus; True; 2024Icar..42116203B
A clear case for dust obscuration of the lunar retroreflectors; Icarus; True; 2024Icar..41716113S
Electrostatic regolith size-sorting effects on surface spectra of airless bodies; Icarus; False; 2024Icar..42116213O
Assessing the utility of high spectral resolution lidar for measuring particulate backscatter in the ocean and evaluating satellite ocean color retrievals; Remote Sensing of Environment; False; 2024RSEnv.30013898C
Joint Phase-Screen Estimation in Airborne Multibaseline SAR Tomography Data Processing; IEEE Transactions on Geoscience and Remote Sensing; True; 2024ITGRS..62S6186I
Recalibration of the lunar chronology due to spatial cratering-rate variability; Icarus; True; 2024Icar..41115956L
Bayesian inference on the isotopic building blocks of Mars and Earth; Icarus; True; 2024Icar..40815805D
The Fluorescence Camera of the POEMMA-Balloon with Radio (PBR): Design and scientific goals; Nuclear Instruments and Methods in Physics Research A; True; 2024NIMPA106869727B
Penetrating electric field during the Nov 3-4, 2021 geomagnetic storm; Journal of Atmospheric and Solar-Terrestrial Physics; True; 2024JASTP.25706219W
Spatially dependent hydration features on nominally anhydrous near-earth asteroids; Icarus; True; 2024Icar..42216252M
The International Astronomical Search Collaboration (IASC)—Citizen Scientist System for Asteroid Discovery; Publications of the Astronomical Society of the Pacific; True; 2024PASP..136b4502M
Laboratory measurement of volatile ice vapor pressures with a quartz crystal microbalance; Icarus; True; 2024Icar..41015767G
An Extreme Auroral Electrojet Spike During 2023 April 24th Storm; AGU Advances; True; 2024AGUA....501101Z
Preface: Information theory and machine learning for geospace research; Advances in Space Research; False; 2024AdSpR..74.6249W
A pole-to-pole map of hydrocarbons in Saturn's upper stratosphere and mesosphere; Icarus; True; 2024Icar..41716133B
Characterization of the M1 and M2 layers in the undisturbed Martian ionosphere at a variety of solar conditions with MAVEN ROSE; Icarus; True; 2024Icar..42416251S
The hydrology of the Jezero crater paleolake: Implications for the climate and limnology of the lake system from hydrological modeling; Earth and Planetary Science Letters; True; 2024E&PSL.63518690H
Impacting the dayside Martian ionosphere from above and below: Effects of the impact of CIRs and ICMEs close to aphelion (April 2021) and during dust storms (June/July 2022) seen with MAVEN ROSE; Icarus; True; 2024Icar..42416089F
Subsurface pulse, crater and ejecta asymmetry from oblique impacts into granular media; Icarus; True; 2024Icar..40815816S
Tarda and Tagish Lake: Samples from the same outer Solar System asteroid and implications for D- and P-type asteroids; Geochimica et Cosmochimica Acta; False; 2024GeCoA.380...48S
Wind erosion and transport on planetesimals; Icarus; True; 2024Icar..41115948Q
The Calorimetric Electron Telescope (CALET) on the International Space Station: Results from the first eight years on orbit; Advances in Space Research; True; 2024AdSpR..74.4353A
The effect of particle size distribution on lunar regolith simulant angle of repose; Advances in Space Research; False; 2024AdSpR..74.3437E
Thermodynamic modeling of calcium or magnesium chloride, chlorate, and perchlorate ternary mixtures deliquescence at Mars-relevant temperatures; Icarus; False; 2024Icar..41015914S
Composition of Earth's initial atmosphere and fate of accreted volatiles set by core formation and magma ocean redox evolution; Earth and Planetary Science Letters; False; 2024E&PSL.62918618G
The puzzling north polar region of Uranus: Continued zero-shear winds and increasing brightness from 2015 through 2022 according to 7 years of Keck AO imaging; Icarus; False; 2024Icar..42016186S
Lunar mantle structure and composition inferred from Apollo 12 - Explorer 35 electromagnetic sounding; Icarus; True; 2024Icar..40715775G
Atomic masses with machine learning for the astrophysical r process; Physics Letters B; True; 2024PhLB..84838385L
Characterization and implications of a mass movement site in Bennu's Bralgah Crater; Icarus; False; 2024Icar..41516056T
A study of Jupiter's UV Great Dark Spot and tropopause to stratosphere winds in the high northern latitudes as seen by Cassini imaging; Icarus; False; 2024Icar..41015913B
The many ages of Triton: New crater counts on the Voyager high-resolution image sequence and implications for impactor provenance; Icarus; True; 2024Icar..42216230M
orbitize! v3: Orbit fitting for the High-contrast Imaging Community; The Journal of Open Source Software; True; 2024JOSS....9.6756B
Composition and speciation of volcanic volatiles on the Moon; Icarus; False; 2024Icar..41316009V
The Random Hivemind: An ensemble deep learning application to the solar energetic particle prediction problem; Advances in Space Research; True; 2024AdSpR..74.6252O
GOALS-JWST: The Warm Molecular Outflows of the Merging Starburst Galaxy NGC 3256; The Astrophysical Journal; True; 2024ApJ...977...36B
Space radiation protection in the modern era: New approaches to familiar challenges; Radiation Physics and Chemistry; False; 2024RaPC..22111764B
Jovian current disk crossings as observed by Juno JADE-I; Icarus; False; 2024Icar..41316006W
The evolution of a young ocean within Mimas; Earth and Planetary Science Letters; False; 2024E&PSL.63518689R
Direct Measurements of Synchrotron-emitting Electrons at Near-Sun Shocks; The Astrophysical Journal; True; 2024ApJ...976L...7J
JWST Observations of K2-18b Can Be Explained by a Gas-rich Mini-Neptune with No Habitable Surface; The Astrophysical Journal; True; 2024ApJ...963L...7W
Asteroids were born bigger: An implication of surface mass ablation during gas-assisted implantation into the asteroid belt; Icarus; True; 2024Icar..41015910R
X-band scintillations in Venus radio occultations observed by Akatsuki; Icarus; False; 2024Icar..42016193L
Topography formation driven by sublimation of pure species on icy airless worlds; Icarus; False; 2024Icar..41516043M
The solar dynamo begins near the surface; Nature; True; 2024Natur.629..769V
New maximum constraints on the era of martian valley network formation; Earth and Planetary Science Letters; False; 2024E&PSL.62618509M
Liquid mass gauging during propellant transfer in microgravity; Acta Astronautica; False; 2024AcAau.220..283C
THEMIS observations of compressional Pc5 pulsations in the dawn- and duskside magnetosphere; Advances in Space Research; False; 2024AdSpR..74.6085K
Flying Parker Solar Probe to touch the Sun; Acta Astronautica; True; 2024AcAau.214..110G
The smallest structures in Saturn's rings from UVIS stellar occultations; Icarus; False; 2024Icar..41516069J
UNCOVER Spectroscopy Confirms the Surprising Ubiquity of Active Galactic Nuclei in Red Sources at z>5; The Astrophysical Journal; True; 2024ApJ...964...39G
G359.13142-0.20005: a steep spectrum radio pulsar candidate with an X-ray counterpart running into the Galactic Centre Snake (G359.1-0.2); Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.530..254Y
The delivery of water ice to the Martian surface by passive degassing; Icarus; False; 2024Icar..41616084H
Broad-Band X-Ray Analysis of NGC 3227; Progress of Theoretical and Experimental Physics; True; 2024PTEP.2024i3E01N
Bounding nonlinear stretching about spacecraft trajectories using tensor eigenpairs; Acta Astronautica; False; 2024AcAau.214..159J
Nonthermal Signatures of Radiative Supernova Remnants; The Astrophysical Journal; True; 2024ApJ...974..201D
Comprehensive observations and geostatistics of slope streaks within the Olympus Mons aureole; Icarus; True; 2024Icar..41516061S
Probing Cold-to-temperate Exoplanetary Atmospheres: The Role of Water Condensation on Surface Identification with JWST; The Astrophysical Journal; True; 2024ApJ...975..146H
New black hole spin values for Sagittarius A* obtained with the outflow method; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.527..428D
Stellar flares are far-ultraviolet luminous; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.532.4436B
Measurements of brown carbon and its optical properties from boreal forest fires in Alaska summer; Atmospheric Environment; False; 2024AtmEn.32420436B
The Uranus system from occultation observations (1977-2006): Rings, pole direction, gravity field, and masses of Cressida, Cordelia, and Ophelia; Icarus; True; 2024Icar..41115957F
SNOOPI: Demonstrating Earth remote sensing using P-band signals of opportunity (SoOp) on a CubeSat; Advances in Space Research; True; 2024AdSpR..73.2855G
Evidence of a Strong 19.5 Hz Flux Oscillation in Swift BAT and Fermi GBM Gamma-Ray Data from GRB 211211A; The Astrophysical Journal; True; 2024ApJ...967...26C
Comparison of volatiles evolving from selected highland and mare lunar regolith simulants during vacuum sintering; Planetary and Space Science; False; 2024P&SS..25205982P
A Comparison of the X-Ray Polarimetric Properties of Stellar and Supermassive Black Holes; The Astrophysical Journal; True; 2024ApJ...974..101S
Volatile-rich Sub-Neptunes as Hydrothermal Worlds: The Case of K2-18 b; The Astrophysical Journal; True; 2024ApJ...977L..51L
Particle sizes in Saturn's rings from UVIS stellar occultations 2. Outlier Populations in the C ring and Cassini Division; Icarus; False; 2024Icar..41616081G
Multi-domain analysis and prediction of inductively coupled plasma jet dynamics via high-speed imaging of visible light emission; Experimental Thermal and Fluid Science; True; 2024ETFS..15711232C
The Sonora Substellar Atmosphere Models. III. Diamondback: Atmospheric Properties, Spectra, and Evolution for Warm Cloudy Substellar Objects; The Astrophysical Journal; True; 2024ApJ...975...59M
Accretion and Uneven Depletion of the Main Asteroid Belt; The Planetary Science Journal; True; 2024PSJ.....5..110D
Transboundary hazard and downstream impact of glacial lakes in Hindu-Kush Karakoram Himalayas; Science of the Total Environment; False; 2024ScTEn.91469758D
Direct comparison of Earth, Mars, and lunar quantification accuracies derived from laser-induced breakdown spectra of rocks; Spectrochimica Acta - Part B: Atomic Spectroscopy; True; 2024AcSpB.21706970L
3x3 array module of 8×8×32 mm<SUP>3</SUP> position-sensitive virtual frisch-grid CdZnTe detectors for imaging and spectroscopy of cosmic gamma-rays; Nuclear Instruments and Methods in Physics Research A; False; 2024NIMPA106469328B
Development of icy regolith simulant for lunar permanently shadowed regions; Advances in Space Research; True; 2024AdSpR..73.3222S
Revisiting High-energy Polarization from Leptonic and Hadronic Blazar Scenarios; The Astrophysical Journal; True; 2024ApJ...967...93Z
Ancient volcanism may have influenced patterns of hydrated regolith on Mars; Icarus; True; 2024Icar..40915858P
Fully numerical computation of heteroclinic connection families in the spatial three-body problem; Communications in Nonlinear Science and Numerical Simulations; True; 2024CNSNS.13007780H
Tidal dissipation of binaries in asteroid pairs; Icarus; True; 2024Icar..41115919P
Estimating irrigation water use from remotely sensed evapotranspiration data: Accuracy and uncertainties at field, water right, and regional scales; Agricultural Water Management; True; 2024AgWM..30309036Z
HIWIND Balloon and Antarctica Jang Bogo FPI High Latitude Conjugate Thermospheric Wind Observations and Simulations; Journal of Geophysical Research (Space Physics); True; 2024JGRA..12932400W
A statistical evaluation of the morphological variability of shortening landforms on Mercury; Icarus; False; 2024Icar..41616106L
Results from the InSight atmospheric imaging campaign; Icarus; False; 2024Icar..42116248L
Experimental investigations on the flow boiling and heat transfer characteristics during chilldown process in a closed loop chilldown test section; International Journal of Heat and Mass Transfer; True; 2024IJHMT.23225915N
Thermophysical properties of lunar regolith simulant LHS-1 and ice sublimation kinetics in its mixtures with frozen water; Thermochimica Acta; False; 2024TcAc..73179648A
Mass estimates from optical modelling of the new TRAPUM redback PSR J1910-5320; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.528.4337D
ELSSIE: A compact stereo spectral imager for planetary surface morphology and composition; Planetary and Space Science; False; 2024P&SS..24105841M
Very local impact on the spectrum of cosmic-ray nuclei below 100 TeV; Advances in Space Research; True; 2024AdSpR..74.4264M
Role of Magnetic Arcades in Explaining the Puzzle of the Gamma-Ray Emission from the Solar Disk; The Astrophysical Journal; True; 2024ApJ...973..118P
Mass Flows in Expanding Coronal Loops; The Astrophysical Journal; True; 2024ApJ...967...53R
Early generation of a refractory inclusions-enriched H-chondritic parent body: A safe harbor for Ca, Al-rich inclusions; Earth and Planetary Science Letters; True; 2024E&PSL.64619010E
Modeling the electro-chemo-mechanical failure at the lithium-solid electrolyte interface: Void evolution and lithium penetration; Journal of Mechanics Physics of Solids; True; 2024JMPSo.19205799F
Land cover fraction mapping across global biomes with Landsat data, spatially generalized regression models and spectral-temporal metrics; Remote Sensing of Environment; False; 2024RSEnv.31114260S
An assessment of gridded precipitation products over High Mountain Asia; Journal of Hydrology: Regional Studies; True; 2024JHyRS..5201675D
Rapid spin changes around a magnetar fast radio burst; Nature; True; 2024Natur.626..500H
Investigating the Impact of Atomic Data Uncertainties on the Measured Physical Parameters of the Perseus Galaxy Cluster; The Astrophysical Journal; True; 2024ApJ...962..192C
The Empirical and Radiative Transfer Hybrid (EaRTH) Disk Model: Merging Analyses of Protoplanetary Dust Disk Mineralogy and Structure; The Astrophysical Journal; True; 2024ApJ...970..137G
Estimated Heating Rates Due to Cyclotron Damping of Ion-scale Waves Observed by the Parker Solar Probe; The Astrophysical Journal; True; 2024ApJ...973...20S
An Updated Mass-Radius Analysis of the 2017-2018 NICER Data Set of PSR J0030+0451; The Astrophysical Journal; True; 2024ApJ...961...62V
Extended Cyclotron Resonant Heating of the Turbulent Solar Wind; The Astrophysical Journal; True; 2024ApJ...972L...8B
A NICER View of the Nearest and Brightest Millisecond Pulsar: PSR J0437─4715; The Astrophysical Journal; True; 2024ApJ...971L..20C
Optical properties of organic haze analogues in water-rich exoplanet atmospheres observable with JWST; Nature Astronomy; True; 2024NatAs...8..182H
Origins of Very Low Helium Abundance Streams Detected in the Solar Wind Plasma; The Astrophysical Journal; True; 2024ApJ...977...89Y
Synchrotron intensity gradient revealing magnetic fields in galaxy clusters; Nature Communications; True; 2024NatCo..15.1006H
Direct ink writing of viscous inks in variable gravity regimes using parabolic flights; Acta Astronautica; False; 2024AcAau.219..569K
Reionization after JWST: a photon budget crisis?; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.535L..37M
Proceeding toward the maximum of solar cycle 25 with a radiation environment similar to the previous cycle; Advances in Space Research; True; 2024AdSpR..74.6183R
Dust-gas dynamics driven by the streaming instability with various pressure gradients; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.529..275B
The Loss of Starlink Satellites in February 2022: How Moderate Geomagnetic Storms Can Adversely Affect Assets in Low-Earth Orbit; Space Weather; True; 2024SpWea..2203716B
Review on phase change materials for spacecraft avionics thermal management; Journal of Energy Storage; False; 2024JEnSt..8711369K
Fire monitoring and detection using brightness-temperature difference and water vapor emission from the atmospheric infrared sounder; Journal of Quantitative Spectroscopy and Radiative Transfer; False; 2024JQSRT.31708930Y
JWST Reveals a Surprisingly High Fraction of Galaxies Being Spiral-like at 0.5 ≤ z ≤ 4; The Astrophysical Journal; True; 2024ApJ...968L..15K
The Evolution of Binaries Embedded Within Common Envelopes; The Astrophysical Journal; True; 2024ApJ...977...16R
Rock thermal conductivity and thermal inertia measurements under martian atmospheric pressures; Icarus; False; 2024Icar..42416272A
Quasi-periodic X-ray eruptions years after a nearby tidal disruption event; Nature; True; 2024Natur.634..804N
Dynamical feasibility of (3) Juno as a parent body of the H chondrites; Icarus; True; 2024Icar..40815838N
The Featherweight Giant: Unraveling the Atmosphere of a 17 Myr Planet with JWST; The Astronomical Journal; True; 2024AJ....168..297T
Are These Planets or Brown Dwarfs? Broadly Solar Compositions from High-resolution Atmospheric Retrievals of ∼10–30 M <SUB>Jup</SUB> Companions; The Astrophysical Journal; True; 2024ApJ...970...71X
Kinetic-Scale Current Sheets in the Solar Wind at 5 AU; Journal of Geophysical Research (Space Physics); False; 2024JGRA..12932586V
A Raster-oriented Method for Creating Eclipse Maps; The Astronomical Journal; True; 2024AJ....168..163W
Integration of multi-temporal SAR data and robust machine learning models for improvement of flood susceptibility assessment in the southwest coast of India; Applied Computing and Geosciences; True; 2024ApGS...2400189P
Detection of the Orbital Modulation of Fe Kα Fluorescence Emission in Centaurus X-3 Using the High-resolution Spectrometer Resolve on board XRISM; The Astrophysical Journal; True; 2024ApJ...977L..21M
Hybrid Kinetic Modeling of the Magnetosheath Impulsive Plasma Cloud Penetration Through the Magnetopause and Comparison With MMS and Other Spacecraft Observations; Journal of Geophysical Research (Space Physics); True; 2024JGRA..12932909L
Adaptation and Response in Drylands (ARID): Community Insights for Scoping a NASA Terrestrial Ecology Field Campaign in Drylands; Earth's Future; True; 2024EaFut..1204811F
Performance evaluation of the high-voltage CMOS active pixel sensor AstroPix for gamma-ray space telescopes; Nuclear Instruments and Methods in Physics Research A; True; 2024NIMPA106869762S
Thermodynamic and experimental study on carbothermal reduction of JSC-1A lunar regolith simulant for metal and metalloid production; Advances in Space Research; False; 2024AdSpR..73.4024K
Stellar populations in STARFORGE: the origin and evolution of star clusters and associations; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.527.6732F
Comparing the three-dimensional morphological asymmetries in the ejecta of Kepler and Tycho in X-rays; Astronomy and Astrophysics; True; 2024A&A...687A..28P
GloCAB cropland field boundary dataset; Data in Brief; True; 2024DIB....5510739H
Localising pulsations in the hard X-ray and microwave emission of an X-class flare; Astronomy and Astrophysics; True; 2024A&A...684A.215C
Extremely strong C IV λ1550 nebular emission in the extremely low-metallicity star-forming galaxy J2229+2725; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.528L..10I
Multiwavelength identification of millisecond pulsar candidates in the Galactic bulge; Astronomy and Astrophysics; True; 2024A&A...690A.330B
Search for quasi-periodic oscillations in TESS light curves of bright Fermi Blazars; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.528.6608T
Optical quasi-periodic oscillations in the TESS light curves of three blazars; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.527.9132T
From satellite-based phenological metrics to crop planting dates: Deriving field-level planting dates for corn and soybean in the U.S. Midwest; ISPRS Journal of Photogrammetry and Remote Sensing; False; 2024JPRS..216..259Z
Three-dimensional Numerical Simulations of a Liquid RP-2/O<SUB>2</SUB> based Rotating Detonation Engine; Combustion and Flame; False; 2024CoFl..25913097P
Spatial patterns of valley network erosion on early Mars; Icarus; False; 2024Icar..42116224G
A Systematic Analysis of the X-Ray Emission in Optically Selected Tidal Disruption Events: Observational Evidence for the Unification of the Optically and X-Ray-selected Populations; The Astrophysical Journal; True; 2024ApJ...966..160G
Artificial Greenhouse Gases as Exoplanet Technosignatures; The Astrophysical Journal; True; 2024ApJ...969...20S
Solar Wind Current Sheets: MVA Inaccuracy and Recommended Single-Spacecraft Methodology; Journal of Geophysical Research (Space Physics); True; 2024JGRA..12932215W
XRISM Spectroscopy of the Fe Kα Emission Line in the Seyfert Active Galactic Nucleus NGC 4151 Reveals the Disk, Broad-line Region, and Torus; The Astrophysical Journal; True; 2024ApJ...973L..25X
Spatial Relationship between CMEs and Prominence Eruptions during SC 24 and SC 25; The Astrophysical Journal; True; 2024ApJ...966...22K
Deep learning based emulator for simulating CMAQ surface NO<SUB>2</SUB> levels over the CONUS; Atmospheric Environment; False; 2024AtmEn.31620192S
Examining the Relationship between the Persistent Emission and the Accretion Rate during a Type I X-Ray Burst; The Astrophysical Journal; True; 2024ApJ...976...44S
Mitigating space radiation using magnesium(-lithium) and boron carbide composites; Acta Astronautica; True; 2024AcAau.216...37O
The Neutron Star Mass, Distance, and Inclination from Precision Timing of the Brilliant Millisecond Pulsar J0437-4715; The Astrophysical Journal; True; 2024ApJ...971L..18R
MHD Modeling of a Geoeffective Interplanetary Coronal Mass Ejection with the Magnetic Topology Informed by In Situ Observations; The Astrophysical Journal; True; 2024ApJ...977..106P
Chandra X-Ray Observatory Observations of 13 Fermi LAT Sources; The Astrophysical Journal; True; 2024ApJ...961...26R
Risk assessment for asteroid impact threat scenarios; Acta Astronautica; True; 2024AcAau.216..468W
The Roasting Marshmallows Program with IGRINS on Gemini South. II. WASP-121 b has Superstellar C/O and Refractory-to-volatile Ratios; The Astronomical Journal; True; 2024AJ....168..293S
Magnetically Driven Turbulence in the Inner Regions of Protoplanetary Disks; The Astrophysical Journal; True; 2024ApJ...972..128R
Global survey of paleo-bedforms on Mars; Geomorphology; True; 2024Geomo.46609428C
Evaporation of Close-in Sub-Neptunes by Cooling White Dwarfs; The Astrophysical Journal; True; 2024ApJ...966L...1G
NuSTAR Observation of the TeV-detected Radio Galaxy 3C 264: Core Emission and the Hot Accretion Flow Contribution; The Astrophysical Journal; True; 2024ApJ...974...82W
The Advective Flux Transport Model: Improving the Far Side with Active Regions Observed by STEREO 304 Å; The Astrophysical Journal; True; 2024ApJ...968..114U
TOI-2490b - the most eccentric brown dwarf transiting in the brown dwarf desert; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.533.2823H
Young asteroid families as the primary source of meteorites; Nature; True; 2024Natur.634..566B
Tidally induced fault motion within Europa's ice shell and implications for subsurface communication development; Icarus; True; 2024Icar..41015726L
A Long-duration Superflare on the K Giant HD 251108; The Astrophysical Journal; True; 2024ApJ...977....6G
Proposed Resolution to the Solar Open Magnetic Flux Problem; The Astrophysical Journal; True; 2024ApJ...964..115A
Nonneutralized Electric Currents as a Proxy for Eruptive Activity in Solar Active Regions; The Astrophysical Journal; True; 2024ApJ...961..148L
X-ray eruptions every 22 days from the nucleus of a nearby galaxy; Nature Astronomy; True; 2024NatAs...8..347G
Exploring the Composition of Europa with the Upcoming Europa Clipper Mission; Space Science Reviews; True; 2024SSRv..220...49B
Large-scale Coronal Dimming Foreshadowing a Solar Eruption on 2011 October 1; The Astrophysical Journal; True; 2024ApJ...961..218Z
Hamilton Echelle Spectrograph Observations of Solar Analog Field Stars: Lithium Abundance and Activity; The Astronomical Journal; True; 2024AJ....168..240L
On the properties and implications of collapse-driven MHD turbulence; Monthly Notices of the Royal Astronomical Society; True; 2024MNRAS.530.3431V
Detailed chemical composition analysis of the Soi crater region on Titan; Icarus; False; 2024Icar..42116215S
A Multiwavelength Machine-learning Approach to Classifying X-Ray Sources in the Fields of Unidentified 4FGL-DR4 Sources; The Astrophysical Journal; True; 2024ApJ...971..180Y
Advanced Methods for Analyzing in-Situ Observations of Magnetic Reconnection; Space Science Reviews; True; 2024SSRv..220...68H
Phyllosilicate decomposition on Bennu due to prolonged surface exposure; Icarus; False; 2024Icar..40815809H
Heating of the Atmospheres of Short-orbit Exoplanets by Their Rapid Orbital Motion through an Extreme Space Environment; The Astrophysical Journal; True; 2024ApJ...962..157C
IXPE observation confirms a high spin in the accreting black hole 4U 1957+115; Astronomy and Astrophysics; True; 2024A&A...684A..95M
A JWST Medium-resolution MIRI Spectrum and Models of the Type Ia Supernova 2021aefx at +415 days; The Astrophysical Journal; True; 2024ApJ...975..203A
Observed Fluctuation Enhancement and Departure from WKB Theory in Sub-Alfvénic Solar Wind; The Astrophysical Journal; True; 2024ApJ...977L..19R
Parkes Radio and NuSTAR X-Ray Observations of the Composite Supernova Remnant B0453–685 in the Large Magellanic Cloud; The Astrophysical Journal; True; 2024ApJ...975..247E
CO<SUB>2</SUB> in the atmosphere of Mars depleted in <SUP>13</SUP>C; Icarus; True; 2024Icar..41716121L
The XRISM/Resolve View of the Fe K Region of Cyg X-3; The Astrophysical Journal; True; 2024ApJ...977L..34X
High-precision Atmospheric Characterization of a Y Dwarf with JWST NIRSpec G395H Spectroscopy: Isotopologue, C/O Ratio, Metallicity, and the Abundances of Six Molecular Species; The Astronomical Journal; True; 2024AJ....167..237L
Kindling the First Stars. I. Dependence of Detectability of the First Stars with JWST on the Population III Stellar Masses; The Astrophysical Journal; True; 2024ApJ...962...49B
Jupiter Co-Orbital Comet P/2023 V6 (PANSTARRS): Orbital History and Modern Activity State; The Astrophysical Journal; True; 2024ApJ...967L...5K
