,DOI,Publisher,Funders,Funder Id,RoRID (Funder),Author(s),Article Title,Journal Name,Online Publication Date,Print Publication Date,Last Audited On,Publicly Accessible On Publisher Site,License Type,License URL,Reuse License Start Date,Agency Portal URL,Type,Added,Updated,ORCID,Grant ID,Archived,Datasets,CHORUS Verified OA,Audit Source,Funder Source
3256,10.3390/mi15020170,MDPI AG,NASA;NSF;NIST,10.13039/100000104;10.13039/100000001;10.13039/100000161,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/05xpvk416,Karna Sivaji;Sun Can;Yuan Lang;Zhang Tianyu;Zhang Zilong,Understanding Melt Pool Behavior of 316L Stainless Steel in Laser Powder Bed Fusion Additive Manufacturing,Micromachines,2024-01-23,,26/8/2024,23/1/2024,vor,https://creativecommons.org/licenses/by/4.0/,23/01/2024,,journal-article,7/3/2024,6/8/2024,,SC-80NSSC21M0148;2029425;70NANB23H030,Yes,,Yes,CHORUS,Crossref
3257,10.3389/fspas.2024.1374331,Frontiers Media SA,Massachusetts Institute of Technology;Science Mission Directorate,10.13039/100006919;10.13039/100016465,https://ror.org/042nb2s44;https://ror.org/027ka1x80,Erickson Philip J.;Foster John C.;Omura Yoshiharu,Upstream motion of chorus wave generation: comparisons with observations,Frontiers in Astronomy and Space Sciences,2024-02-21,,,,vor,,,,journal-article,7/3/2024,13/9/2024,,,Unknown,,Unknown,,Crossref
3258,10.1016/j.icarus.2024.116032,Elsevier BV,CNRS;European Research Council;NASA,10.13039/501100004794;10.13039/100010663;10.13039/100000104,https://ror.org/02feahw73;https://ror.org/0472cxd90;https://ror.org/027ka1x80,Avice Guillaume;Clement Matthew S.;Joiret Sarah;Raymond Sean N.,Crash Chronicles: Relative contribution from comets and carbonaceous asteroids to Earths volatile budget in the context of an Early Instability,Icarus,,2024-05-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,07/09/2024,,journal-article,7/3/2024,13/9/2024,,,Yes,,Unknown,,Crossref
3259,10.1093/mnras/stae460,Oxford University Press (OUP),AEI;ANID;CEA;CONACYT;USDOE;European Research Council;European Union;Gordon and Betty Moore Foundation;Heising-Simons Foundation;K2;MCIN;MICINN;NASA;NSF;National Energy Research Scientific Computing Center;Office of Science;Science and Technology Facilities Council;UK Space Agency,10.13039/100005910;10.13039/501100020884;10.13039/100008931;10.13039/501100003141;10.13039/100000015;10.13039/100010663;10.13039/501100000780;10.13039/100000936;10.13039/100014155;10.13039/501100010238;10.13039/501100004837;10.13039/501100004837;10.13039/100000104;10.13039/100000001;10.13039/100017223;10.13039/100006132;10.13039/501100000271;10.13039/100011690,https://ror.org/0027wxf59;https://ror.org/02ap3w078;https://ror.org/03vtskf62;https://ror.org/059ex5q34;https://ror.org/01bj3aw27;https://ror.org/0472cxd90;https://ror.org/00k4n6c32;https://ror.org/006wxqw41;https://ror.org/01mp52y34;https://ror.org/05r0vyz12;https://ror.org/05r0vyz12;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/05v3mvq14;https://ror.org/00mmn6b08;https://ror.org/057g20z61;https://ror.org/051sgbe98,Aguilar Jessica;Ahlen Steven;Anderson Joseph P;Berger Edo;Brink Thomas G;Brooks David;Callow Joseph;Chen Ting-Wan;Clark Peter;Claybaugh Todd;Doel Peter;Filippenko Alexei V;Forero-Romero Jamie E;Gomez Sebastian;Graur Or;Gromadzki Mariusz;Honscheid Klaus;Inserra Cosimo;Kisner Theodore;Landriau Martin;Makrygianni Lydia;Manera Marc;Meisner Aaron;Miquel Ramon;Moustakas John;Müller-Bravo Tomás E;Nicholl Matt;Nie Jundan;Onori Francesca;Palmese Antonella;Poppett Claire;Reynolds Thomas;Rezaie Mehdi;Rossi Graziano;Sanchez Eusebio;Schubnell Michael;Tarlé Gregory;Weaver Benjamin A;Wevers Thomas;Young David R;Zheng WeiKang;Zhou Zhimin;de la Macorra Axel,Long-term follow-up observations of extreme coronal line emitting galaxies,Monthly Notices of the Royal Astronomical Society,2024-02-15,2024-02-15,18/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,16/02/2024,https://www.osti.gov/pages/biblio/2311218,journal-article,7/3/2024,7/8/2024,http://orcid.org/0000-0002-6576-7400;http://orcid.org/0000-0003-3939-7167;http://orcid.org/0000-0002-4391-6137;http://orcid.org/0000-0002-1229-2499;http://orcid.org/0000-0003-0227-3451,ICN12_009;948381;J1944/80NSSC19K0112;HST GO-15889;NN12AR55G;80NSSC18K0284;80NSSC18K1575;NNX08AR22G;AST-0950945;AST-1238877;AST-1440341;AST-2034437;DE-AC02-05CH11231;ST/S000550/1;ST/W001225/1;ST/T000198/1;ST/S006109/1,Yes,,Unknown,,Crossref
3260,10.1111/maps.14130,Wiley,NASA;NSF;USDOE,10.13039/100000104;10.13039/100000001;10.13039/100000015,https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/01bj3aw27,Brearley Adrian;Lanzirotti Antonio;Newville Matthew;Sutton Stephen R.;Tschauner Oliver,Focusedbeam Xray fluorescence and diffraction microtomographies for mineralogical and chemical characterization of unsectioned extraterrestrial samples,Meteoritics &amp; Planetary Science,2024-01-17,2024-02-01,12/9/2024,17/1/2024,vor,http://creativecommons.org/licenses/by-nc-nd/4.0/,17/01/2024,https://www.osti.gov/pages/biblio/2281628,journal-article,27/1/2024,14/9/2024,http://orcid.org/0000-0002-5362-6280;http://orcid.org/0000-0002-7597-5924,,Yes,,Yes,CHORUS,Crossref
3261,10.3847/1538-4357/ad0ce8,American Astronomical Society,NSF ∣ Directorate for Mathematical and Physical Sciences;NASA;National Energy Research Scientific Computing Center;USDOE,10.13039/100000086;10.13039/100000104;10.13039/100017223;10.13039/100000015,https://ror.org/029b7h395;https://ror.org/027ka1x80;https://ror.org/05v3mvq14;https://ror.org/01bj3aw27,Banerjee Arka;DeRose Joseph;Storey-Fisher Kate;Tinker Jeremy L.;Wechsler Risa H.;Zhai Zhongxu,The Aemulus Project. VI. Emulation of Beyond-standard Galaxy Clustering Statistics to Improve Cosmological Constraints,The Astrophysical Journal,2024-01-26,2024-01-02,19/8/2024,26/1/2024,vor,http://creativecommons.org/licenses/by/4.0/,26/01/2024,https://www.osti.gov/pages/biblio/2282912,journal-article,27/1/2024,14/9/2024,,AST-2009291;80NSSC20K1545;DE-AC0205CH11231;DE-AC02-76SF00515,Yes,,Yes,CHORUS,Crossref
3262,10.1016/j.scitotenv.2024.170491,Elsevier BV,NASA,10.13039/100000104,https://ror.org/027ka1x80,Brandt Jodi S.;Kolarik Nicholas E.;Shrestha Nawaraj,Mesic vegetation persistence: A new approach for monitoring spatial and temporal changes in water availability in dryland regions using cloud computing and the sentinel and Landsat constellations,Science of The Total Environment,,2024-03-01,17/7/2025,,am,http://www.elsevier.com/open-access/userlicense/1.0/,02/02/2025,,journal-article,5/2/2024,13/9/2024,,,Yes,,Unknown,,Crossref
3263,10.3847/1538-3881/ad1330,American Astronomical Society,NASA;NASA;NSF;Swedish National Space Agency,10.13039/100000104;10.13039/100000104;10.13039/100000001;10.13039/501100001859,https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/04t512h04,Akana Murphy Joseph M.;Barrena Rafael;Batalha Natalie M.;Beard Corey;Behmard Aida;Blunt Sarah;Brinkman Casey L.;Carleo Ilaria;Chontos Ashley;Crossfield Ian;Dai Fei;Dalba Paul A.;Dressing Courtney;Fetherolf Tara;Fulton Benjamin;Giacalone Steven;Hill Michelle L.;Holcomb Rae;Howard Andrew W.;Huber Dan;Isaacson Howard;Kane Stephen R.;Kawauchi Kiyoe;Korth Judith;Lubin Jack;Luque Rafael;MacDougall Mason G.;Mayo Andrew W.;Morello Giuseppe;Močnik Teo;Murgas Felipe;Nowak Grzegorz;Orell-Miquel Jaume;Palle Enric;Petigura Erik A;Polanski Alex S.;Rice Malena;Robertson Paul;Roy Arpita;Rubenzahl Ryan A.;Scarsdale Nicholas;Tyler Dakotah;Van Zandt Judah;Weiss Lauren M.,The TESS-Keck Survey. XVII. Precise Mass Measurements in a Young High-multiplicity Transiting Planet System Using Radial Velocities and Transit Timing Variations,The Astronomical Journal,2024-01-29,2024-01-02,10/7/2024,29/1/2024,vor,http://creativecommons.org/licenses/by/4.0/,29/01/2024,,journal-article,5/2/2024,14/9/2024,http://orcid.org/0000-0002-3199-2888;http://orcid.org/0000-0001-7708-2364,80NSSC22K012;80NSSC22K1754;DGE-1842400;DNR 2020-00104,Yes,,Yes,CHORUS,Crossref
3264,10.3847/1538-3881/ad1189,American Astronomical Society,ARC;NASA,10.13039/501100000923;10.13039/100000104,https://ror.org/05mmh0f86;https://ror.org/027ka1x80,Brandt Timothy D.;Collins Karen;Conti Dennis M.;Huber Daniel;Isaacson Howard;Jensen Eric L. N.;Lewin Pablo;Marino Giuseppe;Massey Bob;Murgas Felipe;Palle Enric;Radford Don J.;Relles Howard M.;Srdoc Gregor;Stockdale Chris;Tan Thiam-Guan;Wang Gavin;Weiss Lauren M.;Zhang 张 Jingwen 婧雯,Dynamical Architectures of S-type Transiting Planets in Binaries. I. Target Selection Using Hipparcos and Gaia Proper Motion Anomalies*,The Astronomical Journal,2024-02-02,2024-01-03,10/7/2024,2/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,02/02/2024,,journal-article,5/2/2024,,,FT200100871;80NSSC21K0652,Yes,,Yes,CHORUS,Crossref
3265,10.1039/d3ea00166k,Royal Society of Chemistry (RSC),NASA,10.13039/100000104,https://ror.org/027ka1x80,Hasheminassab Sina;Kaiser Jennifer;Odman M. Talat;Russell Armistead G.;Skipper T. Nash,Local scale air quality impacts in the Los Angeles Basin from increased port activity during 2021 supply chain disruptions,Environmental Science: Atmospheres,2024-01-01,,10/9/2024,31/1/2024,vor,http://creativecommons.org/licenses/by-nc/3.0/,31/01/2024,,journal-article,10/2/2024,8/5/2024,,80NSSC21K0506,Yes,,Yes,CHORUS,Crossref
3266,10.3847/2041-8213/ad20e1,American Astronomical Society,NASA ∣ NASA Headquarters;NASA ∣ NASA Headquarters,10.13039/100017437;10.13039/100017437,https://ror.org/027ka1x80;https://ror.org/027ka1x80,Li H.;Zank G. P.;Zhao L.-L.,Effects of Nonzero-frequency Fluctuations on Turbulence Spectral Observations,The Astrophysical Journal Letters,2024-06-02,2024-01-02,10/7/2024,6/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,06/02/2024,,journal-article,10/2/2024,13/9/2024,,80NSSC20K1783;80NSSC23K0415,Yes,,Yes,CHORUS,Crossref
3267,10.3847/1538-4357/ad0edb,American Astronomical Society,"H2020 European Research Council;H2020 European Research Council;Heising-Simons Foundation;Heising-Simons Foundation;Ministry of Science and Technology, Taiwan;NASA ∣ SMD ∣ Planetary Science Division;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NASA;NSF;NSF;NSF;NSF;NSF;NSF;NSF;NSF;NSF;UKRI ∣ Science and Technology Facilities Council;UKRI ∣ Science and Technology Facilities Council;Villum Fonden;Villum Fonden;Villum Fonden",10.13039/100010663;10.13039/100010663;10.13039/100014155;10.13039/100014155;10.13039/501100004663;10.13039/100020017;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000104;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/100000001;10.13039/501100000271;10.13039/501100000271;10.13039/100008398;10.13039/100008398;10.13039/100008398,https://ror.org/0472cxd90;https://ror.org/0472cxd90;https://ror.org/01mp52y34;https://ror.org/01mp52y34;https://ror.org/02kv4zf79;https://ror.org/04cr1bk24;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/021nxhr62;https://ror.org/057g20z61;https://ror.org/057g20z61;https://ror.org/05nqkay65;https://ror.org/05nqkay65;https://ror.org/05nqkay65,Angus Charlotte R.;Ashall C.;Auchettl Katie;Chambers Kenneth C.;Coulter David A.;Davis Kyle W.;DiLullo Nico;Dimitriadis Georgios;Foley Ryan J.;Fox Ori D.;Gall Christa;Gao Hua;Gomez Sebastian;Hsiao Eric Y.;Huber Mark E.;Izzo Luca;Jencson Jacob E.;Jones David O.;Khetan Nandita;Kilpatrick Charles D.;LeBaron Natalie;Magee Mark;Magnier Eugene A.;Mandel Kaisey S.;McGill Peter;Miao Hao-Yu;Pan Yen-Chen;Pierel Justin D. R.;Piro Anthony L.;Polin Abigail;Politsch Collin A.;Rest Armin;Ridden-Harper Ryan;Rojas-Bravo César;Shahbandeh Melissa;Siebert Matthew R.;Stevens Catherine P.;Swift Jonathan J.;Taggart Kirsty;Villar V. Ashley;Wang Qinan;Yang Grace;Zenati Yossef;de Boer Thomas,Flight of the Bumblebee: the Early Excess Flux of Type Ia Supernova 2023bee Revealed by TESS Swift and Young Supernova Experiment Observations,The Astrophysical Journal,2024-01-02,2024-01-02,10/7/2024,1/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,01/02/2024,,journal-article,10/2/2024,7/8/2024,http://orcid.org/0000-0003-1724-2885;http://orcid.org/0000-0001-5233-6989,758638;101002652;2018-0913;2018-0911;108-2112-M-008-001;NNX08AR22G;NAS5-26555;NAG5-7584;80NSSC22K0494;80NSSC21K0242;80NSSC19K0112;JWST-GO-02114.032-A;JWST-GO-02122.032-A;80NSSC19K1386;NNG17PX03C;80NSSC18K0971;NNX14AM74G;NNX12AR65G;NNX13AQ47G;NNX08AR22G;80NSSC21K1572;NN12AR55G;80NSSC18K0284;80NSSC18K1575;J1944/80NSSC19K0112;HST GO-15889;80NSSC20K0953;HST-HF2-51462.001;AST-1815935;AST-1720756;AST-1815935;AST-1909796;AST-1944985;AST-1238877;AST-1518052;AST-1911206;DGE-1339067;ST/T000198/1;ST/S006109/1;16599;25501;16599,Yes,,Yes,CHORUS,Crossref
3268,10.3847/1538-3881/ad1f6e,American Astronomical Society,NASA,10.13039/100000104,https://ror.org/027ka1x80,Berthier Jérôme;Brozović Marina;Descamps Pascal;Jacobson Robert A.;Licandro Javier;Park Ryan S.;Pinilla-Alonso Noemí;Popescu Marcel,Orbit of the PatroclusMenoetius Binary System and Predictions for the 2024/2025 Mutual Events Season,The Astronomical Journal,2024-02-13,2024-01-03,10/7/2024,13/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,13/02/2024,,journal-article,22/2/2024,,,80NM0018D0004,Yes,,Yes,CHORUS,Crossref
3269,10.3847/1538-4357/ad21fd,American Astronomical Society,NASA;NASA;NSF;NSF,10.13039/100000104;10.13039/100000104;10.13039/100000001;10.13039/100000001,https://ror.org/027ka1x80;https://ror.org/027ka1x80;https://ror.org/021nxhr62;https://ror.org/021nxhr62,Carpenter D.;Hoffmann A. P.;Manchester W. B.;Sokolov I. V.;Wraback E. M.;van der Holst B.,Simulating Compressive Stream Interaction Regions during Parker Solar Probes First Perihelion Using Stream-aligned Magnetohydrodynamics,The Astrophysical Journal,2024-02-20,2024-01-02,10/7/2024,20/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,20/02/2024,,journal-article,22/2/2024,7/3/2024,,80NSSC22K0892;80NSSC21K1124;GEO-2149771;FAIN-1663800,Yes,,Yes,CHORUS,Crossref
3270,10.3847/1538-4357/ad2065,American Astronomical Society,NASA ∣ Marshall Space Flight Center,10.13039/100006197,https://ror.org/02epydz83,Dinsmore Jack T.;Romani Roger W.,Polarization Leakage and the IXPE Point-spread Function,The Astrophysical Journal,2024-02-20,2024-01-02,13/7/2024,20/2/2024,vor,http://creativecommons.org/licenses/by/4.0/,20/02/2024,,journal-article,22/2/2024,,,NNM17AA26C,Yes,,Yes,CHORUS,Crossref
3271,10.1093/mnras/stae118,Oxford University Press (OUP),NASA,10.13039/100000104,https://ror.org/027ka1x80,Dannerbauer Helmut;Hatch Nina A;Kodama Tadayuki;Koyama Yusei;Kurk Jaron D;Pérez-Martínez Jose Manuel;Röttgering Huub J A;Shimakawa Rhythm;Tanaka Ichi;Tanaka Masayuki,New insights into the role of AGNs in forming the cluster red sequence,Monthly Notices of the Royal Astronomical Society,2024-11-01,2024-01-23,18/7/2025,,vor,https://creativecommons.org/licenses/by/4.0/,12/01/2024,,journal-article,7/3/2024,13/9/2024,,,Yes,,Unknown,,Crossref
3274,10.1364/ol.514912,Optica Publishing Group,Air Force Office of Scientific Research;NASA,10.13039/100000181;10.13039/100000104,https://ror.org/011e9bt93;https://ror.org/027ka1x80,Danehy Paul M.;Hsu Paul S.;Hu Hui;Jiang Naibo;Rodrigues Neil;Roy Sukesh;Wang Jincheng,Long-lived nitric oxide molecular tagging velocimetry with 1+1 REMPI,Optics Letters,2024-02-28,2024-01-03,6/8/2025,,am,https://doi.org/10.1364/OA_License_v2#AM,28/02/2025,,journal-article,7/3/2024,13/9/2024,,FA9550-21-1-0218;80NSSC22CA070,Yes,,Unknown,,Crossref
